clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The tunnel was secured by the,The tunnel was flooded by the,tunnel,secured,flooded,a6d31e92e0bf43c79c4e926c1c7c5fa2,Physical Structures,The tunnel was secured by the,The tunnel was flooded by the,7,-5.543151928577572e-06,-0.00014360452769324183,-0.2731924057006836,-1.4032719135284424,-0.43349504470825195,-2.6168103218078613,0.9630041122436523,-0.1341114044189453,-0.2731924057006836,-1.4032719135284424
The citizen was transported by the,The citizen was struck by the,citizen,transported,struck,bb44da35d49f4619b581bd5de85a41be,Humans as Physical Entities,The citizen was transported by the,The citizen was struck by the,7,-3.686919080791995e-05,-0.0002488828031346202,0.7252612113952637,-1.4059202671051025,-0.03840017318725586,-2.145928382873535,2.607006549835205,-1.2563362121582031,0.7252612113952637,-1.4059202671051025
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,0.00014021503739058971,4.452484063222073e-06,2.153935194015503,0.3850288391113281,2.4800257682800293,0.09390449523925781,2.9050302505493164,-0.17641258239746094,2.153935194015503,0.3850288391113281
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities,The victim was examined by the,The victim was blinded by the,7,0.00017075595678761601,-0.00013330642832443118,2.2464540004730225,-1.695235013961792,2.7623610496520996,-2.1692423820495605,3.6395206451416016,-1.0275230407714844,2.2464540004730225,-1.695235013961792
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,9.405035234522074e-05,-5.676116415997967e-06,2.383016586303711,0.3334782123565674,2.752039909362793,-0.06844758987426758,3.2539186477661133,-0.12938356399536133,2.383016586303711,0.3334782123565674
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,3.0499682907247916e-05,-2.984801358252298e-05,1.457274317741394,-0.4072093963623047,1.6983628273010254,-0.9069399833679199,1.8070120811462402,-1.7536134719848633,1.457274317741394,-0.4072093963623047
The grant was monitored by the,The grant was constrained by the,grant,monitored,constrained,359b956eade241ebad63cedd61ea221b,Financial Economic Frame,The grant was monitored by the,The grant was constrained by the,7,1.1707283192663454e-05,3.4534241422079504e-06,1.235604166984558,0.789838433265686,1.5428471565246582,0.807368278503418,1.3208770751953125,-1.1085963249206543,1.235604166984558,0.789838433265686
The profit was reviewed by the,The profit was distorted by the,profit,reviewed,distorted,dcf7b5aea03a4085826c00e2efa11fc3,Financial Economic Frame,The profit was reviewed by the,The profit was distorted by the,7,8.527879253961146e-05,4.4524858822114766e-06,1.8590582609176636,0.3850288391113281,2.894117832183838,0.09390449523925781,2.9237289428710938,-0.17641258239746094,1.8590582609176636,0.3850288391113281
The allowance was valued by the,The allowance was constrained by the,allowance,valued,constrained,6f8398a25b1149d890d42e06751a567c,Financial Economic Frame,The allowance was valued by the,The allowance was constrained by the,7,0.00010605587885947898,8.054485078901052e-09,2.564472198486328,0.8781332969665527,2.592142105102539,0.6556224822998047,3.0294313430786133,-1.0403871536254883,2.564472198486328,0.8781332969665527
The road was maintained by the,The road was battered by the,road,maintained,battered,ae3584a5a3f9440a93da85b2574ed736,Physical Structures,The road was maintained by the,The road was battered by the,7,6.083246262278408e-06,-8.007132419152185e-05,0.6189389228820801,-1.2342233657836914,0.13904380798339844,-2.290273666381836,2.4222755432128906,-0.8082752227783203,0.6189389228820801,-1.2342233657836914
The manuscript was cited by the,The manuscript was damaged by the,manuscript,cited,damaged,d726cf52d97243a093900a5e47288fd9,Academic Scientific Frame,The manuscript was cited by the,The manuscript was damaged by the,7,0.00013629577006213367,-0.00012686807895079255,2.6339471340179443,-1.3850932121276855,3.5195705890655518,-2.0845518112182617,1.8616952896118164,-0.5770092010498047,2.6339471340179443,-1.3850932121276855
The runway was surveyed by the,The runway was blocked by the,runway,surveyed,blocked,dbad154a23b84c84b7e24a8f78a54cd2,Physical Structures,The runway was surveyed by the,The runway was blocked by the,7,1.368312950944528e-06,-0.00010322328307665884,0.696770429611206,-1.4328298568725586,0.688239574432373,-2.09041690826416,2.6025238037109375,-0.0037975311279296875,0.696770429611206,-1.4328298568725586
The submarine was loaded by the,The submarine was shaken by the,submarine,loaded,shaken,25bcbb56bd7749d48bb48527c0317d34,Vehicles and Conveyances,The submarine was loaded by the,The submarine was shaken by the,7,-2.543990922276862e-05,-0.00024396255321335047,1.2961156368255615,-1.3040080070495605,0.26935529708862305,-2.6745824813842773,3.3494873046875,-1.3583307266235352,1.2961156368255615,-1.3040080070495605
The model was uploaded by the,The model was distorted by the,model,uploaded,distorted,010f68066dcc493891bed2ba69e8e937,Information Resources,The model was uploaded by the,The model was distorted by the,7,0.00032424606615677476,-5.170896110939793e-05,2.2641730308532715,-1.0073051452636719,2.6436352729797363,-1.076784610748291,3.5116262435913086,-0.09871053695678711,2.2641730308532715,-1.0073051452636719
The submarine was repaired by the,The submarine was blocked by the,submarine,repaired,blocked,b67c57a103124dd2a405836f9d137b4e,Vehicles and Conveyances,The submarine was repaired by the,The submarine was blocked by the,7,-3.888526407536119e-06,-4.850081313634291e-05,1.331172227859497,-0.7049887180328369,0.7132730484008789,-1.3828082084655762,3.056941032409668,-0.13611984252929688,1.331172227859497,-0.7049887180328369
The robe was displayed by the,The robe was stained by the,robe,displayed,stained,0e2e9601dd1f4cb9b637d4b7bd56b5fa,Textile Garment Frame,The robe was displayed by the,The robe was stained by the,7,0.00017412248416803777,-5.913397399126552e-05,2.069963216781616,-1.0436146259307861,1.5565118789672852,-1.369415283203125,3.360140323638916,-1.7950639724731445,2.069963216781616,-1.0436146259307861
The valuation was allocated by the,The valuation was disrupted by the,valuation,allocated,disrupted,09ee1472702c4f4e81ac0bdcf1ccd6eb,Financial Economic Frame,The valuation was allocated by the,The valuation was disrupted by the,7,6.713648326694965e-05,4.353167241788469e-06,1.8682929277420044,0.42255592346191406,2.555058002471924,0.1323704719543457,3.0874435901641846,-0.006425380706787109,1.8682929277420044,0.42255592346191406
The pedestrian was transported by the,The pedestrian was blinded by the,pedestrian,transported,blinded,01aafd94626e406e89e9d5239a226e97,Humans as Physical Entities,The pedestrian was transported by the,The pedestrian was blinded by the,7,-5.498181781149469e-05,-0.00014327358803711832,0.6118512153625488,-2.0250627994537354,-0.22040843963623047,-2.4411239624023438,3.251598834991455,-0.8224983215332031,0.6118512153625488,-2.0250627994537354
The appendix was validated by the,The appendix was damaged by the,appendix,validated,damaged,66652135a0c54d62bc2ff32dad1085fb,Academic Scientific Frame,The appendix was validated by the,The appendix was damaged by the,7,1.0673406904970761e-05,-0.00015513092512264848,0.39013707637786865,-1.446213960647583,0.6052184104919434,-2.2560276985168457,1.3552355766296387,-0.46511077880859375,0.39013707637786865,-1.446213960647583
The stadium was secured by the,The stadium was shaken by the,stadium,secured,shaken,90a88c3f0bdd4764a60fe78c6d0ffb9c,Physical Structures,The stadium was secured by the,The stadium was shaken by the,7,3.3888187317643315e-05,-0.00010949447460006922,0.7396726608276367,-0.8960506916046143,1.0185093879699707,-1.9507455825805664,1.1284809112548828,-0.4779052734375,0.7396726608276367,-0.8960506916046143
The pension was reviewed by the,The pension was inflated by the,pension,reviewed,inflated,b6ab009cec96434e9e58e5cb69495956,Financial Economic Frame,The pension was reviewed by the,The pension was inflated by the,7,5.95188612351194e-05,4.4122309191152453e-05,1.9169106483459473,1.0624473094940186,2.8279027938842773,0.9312424659729004,2.3540167808532715,-0.5622701644897461,1.9169106483459473,1.0624473094940186
The warehouse was inspected by the,The warehouse was battered by the,warehouse,inspected,battered,220b9247ac7048e5bba4cca174c8e011,Physical Structures,The warehouse was inspected by the,The warehouse was battered by the,7,2.3396070901071653e-05,-0.00011046876170439646,0.6094517707824707,-1.4807088375091553,0.5057830810546875,-2.527757167816162,2.627662181854248,-0.1834087371826172,0.6094517707824707,-1.4807088375091553
The chapter was validated by the,The chapter was delayed by the,chapter,validated,delayed,56d7a0a5d8da44e9a7f9c471719c593c,Academic Scientific Frame,The chapter was validated by the,The chapter was delayed by the,7,6.734069029334933e-05,8.270701073342934e-06,1.130835771560669,0.5376379489898682,1.8332738876342773,-0.0626072883605957,1.9768600463867188,-0.09156513214111328,1.130835771560669,0.5376379489898682
The library was maintained by the,The library was battered by the,library,maintained,battered,9946a78ab69143139377cc35105fe1f7,Physical Structures,The library was maintained by the,The library was battered by the,7,6.780087278457358e-05,-9.520853927824646e-05,1.9345289468765259,-0.786243200302124,2.437762498855591,-1.7701144218444824,2.833944797515869,-0.39714527130126953,1.9345289468765259,-0.786243200302124
The filing was processed by the,The filing was soaked by the,filing,processed,soaked,490a141a86034212af43a304ced50fad,Legal Administrative Frame,The filing was processed by the,The filing was soaked by the,7,6.0700109315803275e-05,-3.7072517443448305e-05,1.8969155550003052,-0.45110058784484863,2.673887252807617,-0.6855354309082031,3.2721996307373047,-0.42183780670166016,1.8969155550003052,-0.45110058784484863
The vine was inspected by the,The vine was choked by the,vine,inspected,choked,ca5a91b6bbf64c2285a94dbfaeae2a70,Biological Organisms,The vine was inspected by the,The vine was choked by the,7,3.435681719565764e-05,-7.908136467449367e-05,0.796208381652832,-1.262415885925293,0.8544888496398926,-2.1010184288024902,2.6623611450195312,-0.5856180191040039,0.796208381652832,-1.262415885925293
The helicopter was designed by the,The helicopter was crushed by the,helicopter,designed,crushed,808cab0ab3954d1cb05af61c18023092,Vehicles and Conveyances,The helicopter was designed by the,The helicopter was crushed by the,7,3.583177021937445e-05,-0.00028110278071835637,1.5786445140838623,-1.8215320110321045,1.1816678047180176,-3.105292797088623,2.2291669845581055,-0.570979118347168,1.5786445140838623,-1.8215320110321045
The chili was seasoned by the,The chili was contaminated by the,chili,seasoned,contaminated,499b10c8dee7486f884f205246d71551,Culinary Frame,The chili was seasoned by the,The chili was contaminated by the,7,-5.899390089325607e-06,-0.00012158090248703957,0.44373083114624023,-1.2981460094451904,0.06738424301147461,-2.4040236473083496,1.1703429222106934,-2.015824794769287,0.44373083114624023,-1.2981460094451904
The appendix was revised by the,The appendix was damaged by the,appendix,revised,damaged,814e967b34b64048b01323ec69f4d043,Academic Scientific Frame,The appendix was revised by the,The appendix was damaged by the,7,7.525810360675678e-05,-0.00015513095422647893,1.768787145614624,-1.446213722229004,2.479780673980713,-2.2560276985168457,2.6531848907470703,-0.46511077880859375,1.768787145614624,-1.446213722229004
The income was managed by the,The income was constrained by the,income,managed,constrained,6fc57c5dddc7442ead4525e1569364d3,Financial Economic Frame,The income was managed by the,The income was constrained by the,7,8.708031964488328e-05,-6.010595825500786e-06,2.141425848007202,0.5184059143066406,2.259068489074707,0.21132326126098633,2.501580238342285,-0.6571822166442871,2.141425848007202,0.5184059143066406
The stuffing was prepared by the,The stuffing was contaminated by the,stuffing,prepared,contaminated,61f71922d1904f47b60a39501cf09332,Culinary Frame,The stuffing was prepared by the,The stuffing was contaminated by the,7,0.00026113848434761167,-0.00015668901323806494,1.781414270401001,-1.5499424934387207,1.8428449630737305,-2.3200221061706543,2.594022750854492,-1.9155974388122559,1.781414270401001,-1.5499424934387207
The stew was served by the,The stew was contaminated by the,stew,served,contaminated,5e347657be574688986f67fab2237527,Culinary Frame,The stew was served by the,The stew was contaminated by the,7,0.00016947960830293596,-0.00015672679000999779,1.4042837619781494,-1.4892969131469727,1.4222311973571777,-2.6588215827941895,2.270681858062744,-2.4061379432678223,1.4042837619781494,-1.4892969131469727
