clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The tunnel was secured by the,The tunnel was flooded by the,tunnel,secured,flooded,a6d31e92e0bf43c79c4e926c1c7c5fa2,Physical Structures,The tunnel was secured by the,The tunnel was flooded by the,7,-2.4410910555161536e-06,-0.00019420386524870992,0.09465885162353516,-0.7701764106750488,0.07557010650634766,-2.2572860717773438,0.6202430725097656,0.6661529541015625,0.09465885162353516,-0.7701764106750488
The terminal was renovated by the,The terminal was damaged by the,terminal,renovated,damaged,c66aee70149f48ffb7873c02bc225a60,Physical Structures,The terminal was renovated by the,The terminal was damaged by the,7,3.2905416446737945e-05,-0.00024620178737677634,0.9856116771697998,-1.213634967803955,1.098665714263916,-2.9294304847717285,0.9386062622070312,0.9957265853881836,0.9856116771697998,-1.213634967803955
The citizen was transported by the,The citizen was struck by the,citizen,transported,struck,bb44da35d49f4619b581bd5de85a41be,Humans as Physical Entities,The citizen was transported by the,The citizen was struck by the,7,-3.7655263440683484e-05,-0.00023392368166241795,0.9246296882629395,-0.13147974014282227,0.5516595840454102,-0.6745786666870117,4.644608974456787,0.5516490936279297,0.9246296882629395,-0.13147974014282227
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities,The soldier was examined by the,The soldier was trapped by the,7,0.00035691814264282584,-0.00018620122864376754,2.3875339031219482,-1.8333525657653809,2.892947196960449,-2.326046943664551,4.84812068939209,-1.4470329284667969,2.3875339031219482,-1.8333525657653809
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,0.00012477226846385747,-6.877811756567098e-06,1.6487832069396973,-0.407503604888916,2.3306941986083984,-0.4182753562927246,2.246936321258545,-2.9716219902038574,1.6487832069396973,-0.407503604888916
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities,The victim was examined by the,The victim was blinded by the,7,7.41171752451919e-05,4.007079405710101e-05,1.8850975036621094,-0.5547032356262207,2.4949607849121094,-0.5196523666381836,5.258623123168945,1.5261774063110352,1.8850975036621094,-0.5547032356262207
The child was assisted by the,The child was burned by the,child,assisted,burned,264a7a0b12c34f26ad4938a7f30ef3de,Humans as Physical Entities,The child was assisted by the,The child was burned by the,7,0.00015698859351687133,-0.00025618725339882076,1.360997200012207,-1.0537257194519043,1.6051740646362305,-1.6493206024169922,3.022463321685791,2.505523681640625,1.360997200012207,-1.0537257194519043
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,2.575039070507046e-05,-4.0326172893401235e-05,1.4565496444702148,-0.9543838500976562,2.073765277862549,-1.266683578491211,1.855855941772461,-2.790825366973877,1.4565496444702148,-0.9543838500976562
The archive was translated by the,The archive was damaged by the,archive,translated,damaged,567a64475b464ed5913485bb8058ffb2,Academic Scientific Frame,The archive was translated by the,The archive was damaged by the,7,0.00022288248874247074,-9.67058731475845e-05,2.823072910308838,-1.0637788772583008,3.3974366188049316,-1.9149351119995117,4.5833234786987305,-0.10107135772705078,2.823072910308838,-1.0637788772583008
The cyclist was arrested by the,The cyclist was crushed by the,cyclist,arrested,crushed,cd77c5d1ed6046bebdd0e6e8c4f8a55b,Humans as Physical Entities,The cyclist was arrested by the,The cyclist was crushed by the,7,1.2483444152167067e-05,-0.00039220493636094034,1.241685152053833,-1.540384292602539,1.0391783714294434,-2.7399415969848633,3.4771676063537598,0.5601053237915039,1.241685152053833,-1.540384292602539
The profit was reviewed by the,The profit was distorted by the,profit,reviewed,distorted,dcf7b5aea03a4085826c00e2efa11fc3,Financial Economic Frame,The profit was reviewed by the,The profit was distorted by the,7,0.0001252239162568003,-6.877811756567098e-06,1.8402986526489258,-0.407503604888916,2.517975330352783,-0.4182753562927246,2.2865939140319824,-2.9716219902038574,1.8402986526489258,-0.407503604888916
The brief was reviewed by the,The brief was buried by the,brief,reviewed,buried,e2200bc3d31e40808f7f59ef549eef53,Legal Administrative Frame,The brief was reviewed by the,The brief was buried by the,7,8.146707114065066e-05,-7.617283699801192e-06,2.173893928527832,-0.01093149185180664,2.657456874847412,-0.2576332092285156,3.396301746368408,-0.4859495162963867,2.173893928527832,-0.01093149185180664
The boy was assisted by the,The boy was crushed by the,boy,assisted,crushed,ecf43cf1976b4a5eaa98309d2d7d19a3,Humans as Physical Entities,The boy was assisted by the,The boy was crushed by the,7,0.00011480518878670409,-0.0003072749823331833,1.3285465240478516,-1.763082504272461,1.2871837615966797,-2.4103965759277344,4.340500831604004,-0.4981412887573242,1.3285465240478516,-1.763082504272461
The van was inspected by the,The van was shaken by the,van,inspected,shaken,6164e3c8e01e4db58a96ffcef6c267dd,Vehicles and Conveyances,The van was inspected by the,The van was shaken by the,7,2.6408022677060217e-05,-0.00011267614172538742,1.0267601013183594,-0.7998099327087402,0.7591972351074219,-1.6874704360961914,4.8497819900512695,-0.5728588104248047,1.0267601013183594,-0.7998099327087402
The road was maintained by the,The road was battered by the,road,maintained,battered,ae3584a5a3f9440a93da85b2574ed736,Physical Structures,The road was maintained by the,The road was battered by the,7,1.9779716240009293e-05,-9.423648589290679e-05,1.121574878692627,-1.1955089569091797,0.7387247085571289,-2.7160158157348633,2.5653786659240723,-1.6231622695922852,1.121574878692627,-1.1955089569091797
The pedestrian was arrested by the,The pedestrian was struck by the,pedestrian,arrested,struck,dbba9a575cc148b697a3b249c238ec25,Humans as Physical Entities,The pedestrian was arrested by the,The pedestrian was struck by the,7,3.4944423532579094e-05,-0.0004124332335777581,1.1979718208312988,-0.9505066871643066,1.0354843139648438,-1.4556465148925781,4.11331844329834,0.7159633636474609,1.1979718208312988,-0.9505066871643066
The manuscript was cited by the,The manuscript was damaged by the,manuscript,cited,damaged,d726cf52d97243a093900a5e47288fd9,Academic Scientific Frame,The manuscript was cited by the,The manuscript was damaged by the,7,0.00016034422151278704,-8.008256554603577e-05,2.2300095558166504,-0.746955394744873,3.5884361267089844,-1.3580284118652344,2.8771872520446777,-0.67877197265625,2.2300095558166504,-0.746955394744873
The terminal was planned by the,The terminal was shaken by the,terminal,planned,shaken,f6ca26a6224e49a183d916fbde8126c5,Physical Structures,The terminal was planned by the,The terminal was shaken by the,7,7.140907109715044e-05,-0.00018462867592461407,1.4039995670318604,-0.7328548431396484,1.3147211074829102,-2.042717933654785,2.0248336791992188,-1.2919244766235352,1.4039995670318604,-0.7328548431396484
The soup was cooked by the,The soup was spoiled by the,soup,cooked,spoiled,7b178824b80f4d7d949c7551714ffc65,Culinary Frame,The soup was cooked by the,The soup was spoiled by the,7,0.00024536222917959094,1.51622443809174e-05,1.9650015830993652,-0.04984140396118164,1.9884920120239258,-0.03896903991699219,3.8245277404785156,0.9068441390991211,1.9650015830993652,-0.04984140396118164
The van was inspected by the,The van was flooded by the,van,inspected,flooded,7f99270ed5a9492189b05b90298cb6d1,Vehicles and Conveyances,The van was inspected by the,The van was flooded by the,7,2.6408015401102602e-05,-0.00022881479526404291,1.0267596244812012,-0.7232270240783691,0.7591972351074219,-1.7036075592041016,4.8497819900512695,1.037449836730957,1.0267596244812012,-0.7232270240783691
The neighbor was examined by the,The neighbor was burned by the,neighbor,examined,burned,032021618f6041d1a869170a7732e548,Humans as Physical Entities,The neighbor was examined by the,The neighbor was burned by the,7,0.000289498595520854,-0.0001498530327808112,1.9414911270141602,-0.7210884094238281,2.6285018920898438,-1.1818370819091797,4.286345958709717,1.4237775802612305,1.9414911270141602,-0.7210884094238281
The runway was surveyed by the,The runway was blocked by the,runway,surveyed,blocked,dbad154a23b84c84b7e24a8f78a54cd2,Physical Structures,The runway was surveyed by the,The runway was blocked by the,7,3.904636105289683e-05,-0.0001736843987600878,0.8319482803344727,-0.7864713668823242,1.3508529663085938,-1.7383813858032227,3.5180745124816895,-0.10941696166992188,0.8319482803344727,-0.7864713668823242
The monument was repaired by the,The monument was buried by the,monument,repaired,buried,0e88c00644ea420db440eef6fc229cb8,Physical Structures,The monument was repaired by the,The monument was buried by the,7,5.515059092431329e-05,-0.00019541106303222477,1.51237154006958,-0.7943310737609863,1.7005419731140137,-2.0874838829040527,3.8712563514709473,0.9872722625732422,1.51237154006958,-0.7943310737609863
The warehouse was secured by the,The warehouse was destroyed by the,warehouse,secured,destroyed,d50c878751d04e98a8576e261ac4d105,Physical Structures,The warehouse was secured by the,The warehouse was destroyed by the,7,2.815588959492743e-05,-0.0001140208332799375,0.11864852905273438,-0.8068437576293945,0.34035682678222656,-1.849055290222168,2.0430469512939453,1.2953548431396484,0.11864852905273438,-0.8068437576293945
The truck was designed by the,The truck was flooded by the,truck,designed,flooded,912f34400e1248dcaee24f46637ff895,Vehicles and Conveyances,The truck was designed by the,The truck was flooded by the,7,3.116564766969532e-05,-0.00022628612350672483,1.4850225448608398,-1.085029125213623,1.1579599380493164,-2.236396312713623,1.9992461204528809,0.6382818222045898,1.4850225448608398,-1.085029125213623
The entry was reviewed by the,The entry was damaged by the,entry,reviewed,damaged,acac89844b214dd29d6cfb64a2398437,Information Resources,The entry was reviewed by the,The entry was damaged by the,7,0.00029680252191610634,-0.00016526048420928419,1.8681328296661377,-0.7911272048950195,2.5535712242126465,-1.6783809661865234,2.8454418182373047,2.718295097351074,1.8681328296661377,-0.7911272048950195
The paper was archived by the,The paper was degraded by the,paper,archived,degraded,c86ed677a7354f7f8167820c1bb55eee,Academic Scientific Frame,The paper was archived by the,The paper was degraded by the,7,0.00012992702249903232,-0.00012821939890272915,1.8171424865722656,-1.101884365081787,2.7100634574890137,-2.260018825531006,2.715165138244629,-0.8936090469360352,1.8171424865722656,-1.101884365081787
The dress was washed by the,The dress was torn by the,dress,washed,torn,f00d7f20b6a447d981ff8e9525fc324b,Textile Garment Frame,The dress was washed by the,The dress was torn by the,7,0.0002007361763389781,-4.507863195613027e-06,0.9686412811279297,-0.07110261917114258,0.9886302947998047,-0.09147930145263672,4.6604390144348145,0.9972820281982422,0.9686412811279297,-0.07110261917114258
The model was uploaded by the,The model was distorted by the,model,uploaded,distorted,010f68066dcc493891bed2ba69e8e937,Information Resources,The model was uploaded by the,The model was distorted by the,7,0.0008674682467244565,-6.316855433396995e-06,2.320796251296997,-0.40909719467163086,2.976151943206787,-0.2927684783935547,4.386771202087402,-0.035495758056640625,2.320796251296997,-0.40909719467163086
The truck was repaired by the,The truck was blocked by the,truck,repaired,blocked,d194ae4bcc434c5fbf63ae6ebce660ac,Vehicles and Conveyances,The truck was repaired by the,The truck was blocked by the,7,2.791138831526041e-05,-0.0001919531059684232,0.7652020454406738,-1.1722674369812012,0.14077377319335938,-1.8454828262329102,4.2661614418029785,0.2964639663696289,0.7652020454406738,-1.1722674369812012
The vine was studied by the,The vine was frozen by the,vine,studied,frozen,0db64644b29f4235a38a8431c918f16a,Biological Organisms,The vine was studied by the,The vine was frozen by the,7,0.0001327020872849971,-3.4522454370744526e-05,2.2691869735717773,-0.10404157638549805,2.889345645904541,-0.6987099647521973,4.602520942687988,0.015377998352050781,2.2691869735717773,-0.10404157638549805
