clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The tram was parked by the,The tram was crushed by the,tram,parked,crushed,be5a1cb39ba2476b88d61b4fc314b856,Vehicles and Conveyances,The tram was parked by the,The tram was crushed by the,7,3.219211794203147e-05,-0.0001413844438502565,1.1001818180084229,-1.1227812767028809,0.3729724884033203,-2.2260098457336426,4.149629592895508,0.6856393814086914,1.1001818180084229,-1.1227812767028809
The terminal was renovated by the,The terminal was damaged by the,terminal,renovated,damaged,c66aee70149f48ffb7873c02bc225a60,Physical Structures,The terminal was renovated by the,The terminal was damaged by the,7,4.9126749217975885e-05,-0.00025584831018932164,1.3096411228179932,-1.721881628036499,1.1195497512817383,-3.001214027404785,2.81583309173584,0.13050460815429688,1.3096411228179932,-1.721881628036499
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities,The soldier was examined by the,The soldier was trapped by the,7,0.00011164718307554722,-0.0001040992938214913,2.113903760910034,-1.131035327911377,2.588070869445801,-1.3096370697021484,2.81772518157959,1.0237798690795898,2.113903760910034,-1.131035327911377
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities,The victim was examined by the,The victim was blinded by the,7,0.00017075595678761601,-0.00013330642832443118,2.2464540004730225,-1.695235013961792,2.7623610496520996,-2.1692423820495605,3.6395206451416016,-1.0275230407714844,2.2464540004730225,-1.695235013961792
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,9.405035234522074e-05,-5.676116415997967e-06,2.383016586303711,0.3334782123565674,2.752039909362793,-0.06844758987426758,3.2539186477661133,-0.12938356399536133,2.383016586303711,0.3334782123565674
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,3.0499682907247916e-05,-2.984801358252298e-05,1.457274317741394,-0.4072093963623047,1.6983628273010254,-0.9069399833679199,1.8070120811462402,-1.7536134719848633,1.457274317741394,-0.4072093963623047
The archive was translated by the,The archive was damaged by the,archive,translated,damaged,567a64475b464ed5913485bb8058ffb2,Academic Scientific Frame,The archive was translated by the,The archive was damaged by the,7,0.0012162979692220688,-0.0003616435278672725,3.6314330101013184,-1.4127793312072754,4.8454132080078125,-2.8192176818847656,1.9248237609863281,0.3219642639160156,3.6314330101013184,-1.4127793312072754
The summons was processed by the,The summons was damaged by the,summons,processed,damaged,2edf976d79094b59b492e5b0a7a26f57,Legal Administrative Frame,The summons was processed by the,The summons was damaged by the,7,0.00010929333802778274,-0.00011298387835267931,1.8451451063156128,-0.900449275970459,2.467475414276123,-1.191525936126709,3.097790241241455,0.9533376693725586,1.8451451063156128,-0.900449275970459
The cyclist was arrested by the,The cyclist was crushed by the,cyclist,arrested,crushed,cd77c5d1ed6046bebdd0e6e8c4f8a55b,Humans as Physical Entities,The cyclist was arrested by the,The cyclist was crushed by the,7,3.283163459855132e-05,-0.00024882829166017473,1.308236837387085,-1.2971599102020264,0.7458295822143555,-2.0695509910583496,2.9322614669799805,0.26569366455078125,1.308236837387085,-1.2971599102020264
The boy was assisted by the,The boy was crushed by the,boy,assisted,crushed,ecf43cf1976b4a5eaa98309d2d7d19a3,Humans as Physical Entities,The boy was assisted by the,The boy was crushed by the,7,0.00028656411450356245,-0.00021947924687992781,2.3962130546569824,-1.3603577613830566,2.713857650756836,-1.6632342338562012,4.203689098358154,0.23982620239257812,2.3962130546569824,-1.3603577613830566
