clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain
The tunnel was secured by the,The tunnel was flooded by the,tunnel,secured,flooded,a6d31e92e0bf43c79c4e926c1c7c5fa2,Physical Structures
The program was uploaded by the,The program was corrupted by the,program,uploaded,corrupted,d066a9bfbf394f86a6c07d6c37edcc40,Information Resources
The transcript was translated by the,The transcript was corrupted by the,transcript,translated,corrupted,d1391c2dbbe14ce792baae8848fecd45,Academic Scientific Frame
The tram was parked by the,The tram was crushed by the,tram,parked,crushed,be5a1cb39ba2476b88d61b4fc314b856,Vehicles and Conveyances
The entry was downloaded by the,The entry was scrambled by the,entry,downloaded,scrambled,8f75c776278f4bc8b075b7434e23fe6b,Information Resources
The terminal was renovated by the,The terminal was damaged by the,terminal,renovated,damaged,c66aee70149f48ffb7873c02bc225a60,Physical Structures
The citizen was transported by the,The citizen was struck by the,citizen,transported,struck,bb44da35d49f4619b581bd5de85a41be,Humans as Physical Entities
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame
The database was verified by the,The database was compressed by the,database,verified,compressed,ea2b1afa6df44f3293834afe09b6f6bc,Information Resources
The child was assisted by the,The child was burned by the,child,assisted,burned,264a7a0b12c34f26ad4938a7f30ef3de,Humans as Physical Entities
The program was archived by the,The program was corrupted by the,program,archived,corrupted,67486ec1fd10456486be0e9fa1563651,Information Resources
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame
The article was reviewed by the,The article was degraded by the,article,reviewed,degraded,e04e15b33c2242438bb27b2ad92a4737,Academic Scientific Frame
The grant was monitored by the,The grant was constrained by the,grant,monitored,constrained,359b956eade241ebad63cedd61ea221b,Financial Economic Frame
The brief was approved by the,The brief was erased by the,brief,approved,erased,a107c2d009104222923036907f743c26,Legal Administrative Frame
The archive was translated by the,The archive was damaged by the,archive,translated,damaged,567a64475b464ed5913485bb8058ffb2,Academic Scientific Frame
The summons was processed by the,The summons was damaged by the,summons,processed,damaged,2edf976d79094b59b492e5b0a7a26f57,Legal Administrative Frame
The cyclist was arrested by the,The cyclist was crushed by the,cyclist,arrested,crushed,cd77c5d1ed6046bebdd0e6e8c4f8a55b,Humans as Physical Entities
The bridge was secured by the,The bridge was damaged by the,bridge,secured,damaged,322ed86c2ad44192a327dfcd9d93a8c3,Physical Structures
The profit was reviewed by the,The profit was distorted by the,profit,reviewed,distorted,dcf7b5aea03a4085826c00e2efa11fc3,Financial Economic Frame
The brief was reviewed by the,The brief was buried by the,brief,reviewed,buried,e2200bc3d31e40808f7f59ef549eef53,Legal Administrative Frame
The boy was assisted by the,The boy was crushed by the,boy,assisted,crushed,ecf43cf1976b4a5eaa98309d2d7d19a3,Humans as Physical Entities
The van was inspected by the,The van was shaken by the,van,inspected,shaken,6164e3c8e01e4db58a96ffcef6c267dd,Vehicles and Conveyances
The video was indexed by the,The video was erased by the,video,indexed,erased,342395f4a2ca48ad9a45db854a4916b3,Information Resources
The certificate was filed by the,The certificate was delayed by the,certificate,filed,delayed,47b82326d61e47f2b762c69ee4c3da27,Legal Administrative Frame
The allowance was valued by the,The allowance was constrained by the,allowance,valued,constrained,6f8398a25b1149d890d42e06751a567c,Financial Economic Frame
The manuscript was verified by the,The manuscript was scrambled by the,manuscript,verified,scrambled,367799e5b7ac4ac0a0c11b109b5282b5,Information Resources
The draft was validated by the,The draft was scrambled by the,draft,validated,scrambled,570d970ebf77453d98e2de0bb64d5e9a,Academic Scientific Frame
The road was maintained by the,The road was battered by the,road,maintained,battered,ae3584a5a3f9440a93da85b2574ed736,Physical Structures
The pedestrian was arrested by the,The pedestrian was struck by the,pedestrian,arrested,struck,dbba9a575cc148b697a3b249c238ec25,Humans as Physical Entities
The manuscript was cited by the,The manuscript was damaged by the,manuscript,cited,damaged,d726cf52d97243a093900a5e47288fd9,Academic Scientific Frame
The dataset was validated by the,The dataset was distorted by the,dataset,validated,distorted,37e4e058b1c14ac2806fb9565ed813b7,Academic Scientific Frame
The terminal was planned by the,The terminal was shaken by the,terminal,planned,shaken,f6ca26a6224e49a183d916fbde8126c5,Physical Structures
The soup was cooked by the,The soup was spoiled by the,soup,cooked,spoiled,7b178824b80f4d7d949c7551714ffc65,Culinary Frame
The document was edited by the,The document was distorted by the,document,edited,distorted,33df530ec58c45c78e438cccc5af182e,Information Resources
The claim was recorded by the,The claim was delayed by the,claim,recorded,delayed,544f167336504bed8a510274fdfd206f,Legal Administrative Frame
The order was recorded by the,The order was erased by the,order,recorded,erased,fd85228c697d40f0881bfb7428667991,Legal Administrative Frame
The van was inspected by the,The van was flooded by the,van,inspected,flooded,7f99270ed5a9492189b05b90298cb6d1,Vehicles and Conveyances
The neighbor was examined by the,The neighbor was burned by the,neighbor,examined,burned,032021618f6041d1a869170a7732e548,Humans as Physical Entities
The runway was surveyed by the,The runway was blocked by the,runway,surveyed,blocked,dbad154a23b84c84b7e24a8f78a54cd2,Physical Structures
The protocol was analyzed by the,The protocol was distorted by the,protocol,analyzed,distorted,c15aa5b523ad41be8238ab3bca281fb7,Academic Scientific Frame
The lease was authorized by the,The lease was blocked by the,lease,authorized,blocked,cb33b6c3065d492aa7d5f0fd6e255bec,Legal Administrative Frame
The certificate was filed by the,The certificate was blocked by the,certificate,filed,blocked,2e62dc87f16f4621986bcb5cd530d5be,Legal Administrative Frame
The monument was repaired by the,The monument was buried by the,monument,repaired,buried,0e88c00644ea420db440eef6fc229cb8,Physical Structures
The warehouse was secured by the,The warehouse was destroyed by the,warehouse,secured,destroyed,d50c878751d04e98a8576e261ac4d105,Physical Structures
The truck was designed by the,The truck was flooded by the,truck,designed,flooded,912f34400e1248dcaee24f46637ff895,Vehicles and Conveyances
The entry was reviewed by the,The entry was damaged by the,entry,reviewed,damaged,acac89844b214dd29d6cfb64a2398437,Information Resources
The license was recorded by the,The license was erased by the,license,recorded,erased,66b7a9ead19d48edb5d3b9cda75d05d7,Legal Administrative Frame
The appeal was filed by the,The appeal was delayed by the,appeal,filed,delayed,ad4261f1f574467fb71fe5487eba57af,Legal Administrative Frame
The harbor was secured by the,The harbor was buried by the,harbor,secured,buried,a97cc83c1d5d4fe3b677b64b176e5c9a,Physical Structures
The application was reviewed by the,The application was blocked by the,application,reviewed,blocked,35f3d4e45e6948ebb8e0753d813a1801,Legal Administrative Frame
The paper was archived by the,The paper was degraded by the,paper,archived,degraded,c86ed677a7354f7f8167820c1bb55eee,Academic Scientific Frame
The dress was washed by the,The dress was torn by the,dress,washed,torn,f00d7f20b6a447d981ff8e9525fc324b,Textile Garment Frame
The submarine was loaded by the,The submarine was shaken by the,submarine,loaded,shaken,25bcbb56bd7749d48bb48527c0317d34,Vehicles and Conveyances
The model was uploaded by the,The model was distorted by the,model,uploaded,distorted,010f68066dcc493891bed2ba69e8e937,Information Resources
The truck was repaired by the,The truck was blocked by the,truck,repaired,blocked,d194ae4bcc434c5fbf63ae6ebce660ac,Vehicles and Conveyances
The vine was studied by the,The vine was frozen by the,vine,studied,frozen,0db64644b29f4235a38a8431c918f16a,Biological Organisms
The motorcycle was driven by the,The motorcycle was crushed by the,motorcycle,driven,crushed,c159e4c2569a4eabb65adc635382bd8f,Vehicles and Conveyances
The submarine was repaired by the,The submarine was blocked by the,submarine,repaired,blocked,b67c57a103124dd2a405836f9d137b4e,Vehicles and Conveyances
The robe was displayed by the,The robe was stained by the,robe,displayed,stained,0e2e9601dd1f4cb9b637d4b7bd56b5fa,Textile Garment Frame
The model was verified by the,The model was scrambled by the,model,verified,scrambled,19d36434c5454a449efdeda990122606,Information Resources
The surplus was valued by the,The surplus was exhausted by the,surplus,valued,exhausted,7cc220285396412ca5c560cb02b5d54b,Financial Economic Frame
The house was inspected by the,The house was battered by the,house,inspected,battered,52c4268976a642248241a8d5023921cf,Physical Structures
The fund was reviewed by the,The fund was distorted by the,fund,reviewed,distorted,1ab9ea573c074b5cbf0a7076c61a34e9,Financial Economic Frame
The valuation was allocated by the,The valuation was disrupted by the,valuation,allocated,disrupted,09ee1472702c4f4e81ac0bdcf1ccd6eb,Financial Economic Frame
The document was edited by the,The document was encrypted by the,document,edited,encrypted,7eba24d8a32a451581c77e16df152713,Information Resources
The pedestrian was transported by the,The pedestrian was blinded by the,pedestrian,transported,blinded,01aafd94626e406e89e9d5239a226e97,Humans as Physical Entities
The crop was trimmed by the,The crop was stripped by the,crop,trimmed,stripped,089e71929a424f798b40a07e2bbead73,Biological Organisms
The allowance was protected by the,The allowance was reduced by the,allowance,protected,reduced,774e4483f1c842d7b60e18d3d4bacf7f,Financial Economic Frame
The prisoner was rescued by the,The prisoner was trapped by the,prisoner,rescued,trapped,61b50e5af0834b8986016c3d25c910b4,Humans as Physical Entities
The archive was verified by the,The archive was compressed by the,archive,verified,compressed,be436f524f3e471ab50a65bb5d430c25,Information Resources
The subpoena was amended by the,The subpoena was lost by the,subpoena,amended,lost,9c97490c52d44e3482936c8989a55b8c,Legal Administrative Frame
The soldier was arrested by the,The soldier was trapped by the,soldier,arrested,trapped,5640e25864ad42f09da2d13b34698131,Humans as Physical Entities
The boat was parked by the,The boat was overturned by the,boat,parked,overturned,5afc7ca693234479b661004d72c6703b,Vehicles and Conveyances
The summons was recorded by the,The summons was erased by the,summons,recorded,erased,e345ecaeb54d400fadbbcaff43258188,Legal Administrative Frame
The sheet was washed by the,The sheet was faded by the,sheet,washed,faded,ec27363eb2784b68b8f625511328823e,Textile Garment Frame
The appendix was validated by the,The appendix was damaged by the,appendix,validated,damaged,66652135a0c54d62bc2ff32dad1085fb,Academic Scientific Frame
The worker was rescued by the,The worker was trapped by the,worker,rescued,trapped,9187c65d1b0b43a3b0f5670d458f6246,Humans as Physical Entities
The archive was edited by the,The archive was compressed by the,archive,edited,compressed,6e2d173e34f742729445ac049a24db10,Information Resources
The farmer was interviewed by the,The farmer was frozen by the,farmer,interviewed,frozen,3344d65e203f46aa8d88a7c8118ff615,Humans as Physical Entities
The manuscript was reviewed by the,The manuscript was compressed by the,manuscript,reviewed,compressed,b0eca9253b634f9d8783a47dc9667ee9,Information Resources
The stadium was secured by the,The stadium was shaken by the,stadium,secured,shaken,90a88c3f0bdd4764a60fe78c6d0ffb9c,Physical Structures
The pension was reviewed by the,The pension was inflated by the,pension,reviewed,inflated,b6ab009cec96434e9e58e5cb69495956,Financial Economic Frame
The harbor was inspected by the,The harbor was buried by the,harbor,inspected,buried,600b6a3e51984418a2b70b2f5e1e780d,Physical Structures
