clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The program was uploaded by the,The program was corrupted by the,program,uploaded,corrupted,d066a9bfbf394f86a6c07d6c37edcc40,Information Resources,The program was uploaded by the,The program was corrupted by the,7,0.002049823524430394,0.00014264923811424524,2.18611216545105,0.6630744934082031,3.1818227767944336,1.0390934944152832,4.450198173522949,-0.14555644989013672,2.18611216545105,0.6630744934082031
The tram was parked by the,The tram was crushed by the,tram,parked,crushed,be5a1cb39ba2476b88d61b4fc314b856,Vehicles and Conveyances,The tram was parked by the,The tram was crushed by the,7,-0.0004154058115091175,-0.00034014825359918177,-1.2474167346954346,-0.7412676811218262,-3.2549004554748535,-2.2391204833984375,2.165220260620117,-0.6497640609741211,-1.2474167346954346,-0.7412676811218262
The terminal was renovated by the,The terminal was damaged by the,terminal,renovated,damaged,c66aee70149f48ffb7873c02bc225a60,Physical Structures,The terminal was renovated by the,The terminal was damaged by the,7,-5.756672180723399e-06,-0.0003431742952670902,1.1276118755340576,-0.6564121246337891,0.9870328903198242,-2.158951759338379,4.160559177398682,-1.6977338790893555,1.1276118755340576,-0.6564121246337891
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities,The soldier was examined by the,The soldier was trapped by the,7,0.0002090766211040318,-0.00022216075740288943,2.0962023735046387,-0.9776444435119629,3.3808326721191406,-2.215656280517578,4.472125053405762,-0.6097354888916016,2.0962023735046387,-0.9776444435119629
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,0.0002215484855696559,-3.9743790694046766e-06,1.753446102142334,-0.15779662132263184,2.654277801513672,-0.16152334213256836,3.419827938079834,-3.4607038497924805,1.753446102142334,-0.15779662132263184
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities,The victim was examined by the,The victim was blinded by the,7,0.00012808223254978657,-1.5617770259268582e-06,1.6170635223388672,-0.061426639556884766,2.8728742599487305,-0.09303760528564453,4.90381383895874,-1.8480463027954102,1.6170635223388672,-0.061426639556884766
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,0.000578656792640686,2.0662435417762026e-05,2.4935758113861084,0.07475662231445312,3.948208808898926,0.24180126190185547,4.184319972991943,-1.573674201965332,2.4935758113861084,0.07475662231445312
The child was assisted by the,The child was burned by the,child,assisted,burned,264a7a0b12c34f26ad4938a7f30ef3de,Humans as Physical Entities,The child was assisted by the,The child was burned by the,7,0.0005448561860248446,-0.0002687729720491916,1.8706340789794922,-0.7289028167724609,2.4950199127197266,-2.082672119140625,5.4183759689331055,-4.802868843078613,1.8706340789794922,-0.7289028167724609
The program was archived by the,The program was corrupted by the,program,archived,corrupted,67486ec1fd10456486be0e9fa1563651,Information Resources,The program was archived by the,The program was corrupted by the,7,0.00031419057631865144,0.00014264923811424524,1.3396368026733398,0.6630744934082031,2.079211711883545,1.0390934944152832,3.029562473297119,-0.14555644989013672,1.3396368026733398,0.6630744934082031
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,5.19602581334766e-05,-2.7347585273673758e-05,1.2209115028381348,-0.6643729209899902,1.7180566787719727,-0.7323455810546875,1.8168869018554688,-2.852078914642334,1.2209115028381348,-0.6643729209899902
