clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The tunnel was secured by the,The tunnel was flooded by the,tunnel,secured,flooded,a6d31e92e0bf43c79c4e926c1c7c5fa2,Physical Structures,The tunnel was secured by the,The tunnel was flooded by the,7,8.039204658416566e-06,-0.0002621702733449638,0.7292566299438477,-1.5848755836486816,0.5084352493286133,-3.4458541870117188,2.1225357055664062,0.8535537719726562,0.7292566299438477,-1.5848755836486816
The terminal was renovated by the,The terminal was damaged by the,terminal,renovated,damaged,c66aee70149f48ffb7873c02bc225a60,Physical Structures,The terminal was renovated by the,The terminal was damaged by the,7,8.547188917873427e-05,-0.0002049414615612477,1.8302192687988281,-1.0879325866699219,2.184077262878418,-2.920988082885742,2.931942939758301,1.724679946899414,1.8302192687988281,-1.0879325866699219
The citizen was transported by the,The citizen was struck by the,citizen,transported,struck,bb44da35d49f4619b581bd5de85a41be,Humans as Physical Entities,The citizen was transported by the,The citizen was struck by the,7,-0.000215179257793352,-0.00037523970240727067,1.2077713012695312,-0.5408487319946289,0.5234203338623047,-1.579239845275879,5.008254528045654,0.8388214111328125,1.2077713012695312,-0.5408487319946289
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities,The soldier was examined by the,The soldier was trapped by the,7,9.021312143886462e-05,-0.00022629355953540653,2.6186161041259766,-1.5543947219848633,3.1211767196655273,-2.4942092895507812,5.107844352722168,0.6479215621948242,2.6186161041259766,-1.5543947219848633
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,9.072931425180286e-05,-3.2712382562749553e-06,2.3246045112609863,-1.5834922790527344,3.1991348266601562,-1.9252681732177734,2.5409469604492188,-5.108551979064941,2.3246045112609863,-1.5834922790527344
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities,The victim was examined by the,The victim was blinded by the,7,1.8381659174337983e-05,-0.0002088655310217291,2.807525157928467,-0.15221595764160156,3.689321517944336,-0.5996980667114258,6.531538963317871,2.1279449462890625,2.807525157928467,-0.15221595764160156
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,0.00013192524784244597,-8.77056154422462e-05,4.294644832611084,0.5518674850463867,4.8103790283203125,-0.885310173034668,5.996286392211914,-0.8741321563720703,4.294644832611084,0.5518674850463867
The child was assisted by the,The child was burned by the,child,assisted,burned,264a7a0b12c34f26ad4938a7f30ef3de,Humans as Physical Entities,The child was assisted by the,The child was burned by the,7,-4.784262273460627e-06,-0.0001715669350232929,2.596963882446289,-1.178940773010254,2.8893585205078125,-1.7663116455078125,7.407188415527344,1.0053329467773438,2.596963882446289,-1.178940773010254
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,1.9603232431109063e-05,-4.549760342342779e-05,2.0018720626831055,-1.3548831939697266,2.4974308013916016,-1.9605741500854492,2.0802431106567383,-3.3531875610351562,2.0018720626831055,-1.3548831939697266
The archive was translated by the,The archive was damaged by the,archive,translated,damaged,567a64475b464ed5913485bb8058ffb2,Academic Scientific Frame,The archive was translated by the,The archive was damaged by the,7,0.00020092041813768446,-0.00011301277845632285,4.414915561676025,-0.8324575424194336,5.305136680603027,-2.3363380432128906,6.144086837768555,2.5248022079467773,4.414915561676025,-0.8324575424194336
The cyclist was arrested by the,The cyclist was crushed by the,cyclist,arrested,crushed,cd77c5d1ed6046bebdd0e6e8c4f8a55b,Humans as Physical Entities,The cyclist was arrested by the,The cyclist was crushed by the,7,9.560928447172046e-06,-0.0004157070943620056,1.7090716361999512,-1.5540246963500977,1.487706184387207,-2.8473777770996094,5.794085502624512,1.029252052307129,1.7090716361999512,-1.5540246963500977
The bridge was secured by the,The bridge was damaged by the,bridge,secured,damaged,322ed86c2ad44192a327dfcd9d93a8c3,Physical Structures,The bridge was secured by the,The bridge was damaged by the,7,9.381154086440802e-06,-0.0003656997869256884,0.8506431579589844,-0.9219961166381836,0.5108537673950195,-2.8884124755859375,2.97113037109375,2.416266441345215,0.8506431579589844,-0.9219961166381836
The profit was reviewed by the,The profit was distorted by the,profit,reviewed,distorted,dcf7b5aea03a4085826c00e2efa11fc3,Financial Economic Frame,The profit was reviewed by the,The profit was distorted by the,7,9.053519170265645e-05,-3.2712382562749553e-06,3.06105899810791,-1.5834922790527344,4.167543411254883,-1.9252681732177734,4.146997451782227,-5.108551979064941,3.06105899810791,-1.5834922790527344
The brief was reviewed by the,The brief was buried by the,brief,reviewed,buried,e2200bc3d31e40808f7f59ef549eef53,Legal Administrative Frame,The brief was reviewed by the,The brief was buried by the,7,9.450023935642093e-05,2.0076913642697036e-05,3.1186532974243164,0.17785263061523438,4.410541534423828,-0.18434810638427734,6.729607582092285,1.502018928527832,3.1186532974243164,0.17785263061523438
The boy was assisted by the,The boy was crushed by the,boy,assisted,crushed,ecf43cf1976b4a5eaa98309d2d7d19a3,Humans as Physical Entities,The boy was assisted by the,The boy was crushed by the,7,0.0001558967778692022,-0.0005858137737959623,2.698648452758789,-2.521531105041504,2.802816390991211,-3.8408355712890625,7.414141654968262,-0.25398826599121094,2.698648452758789,-2.521531105041504
The van was inspected by the,The van was shaken by the,van,inspected,shaken,6164e3c8e01e4db58a96ffcef6c267dd,Vehicles and Conveyances,The van was inspected by the,The van was shaken by the,7,9.330730972578749e-05,-0.00013167582801543176,1.971879005432129,0.051918983459472656,1.833200454711914,-0.9909849166870117,7.744027137756348,0.5421371459960938,1.971879005432129,0.051918983459472656
The allowance was valued by the,The allowance was constrained by the,allowance,valued,constrained,6f8398a25b1149d890d42e06751a567c,Financial Economic Frame,The allowance was valued by the,The allowance was constrained by the,7,0.00012651155702769756,-1.7342597857350484e-05,3.1968226432800293,0.3356294631958008,3.8477468490600586,-0.30867671966552734,4.166482925415039,-2.1421375274658203,3.1968226432800293,0.3356294631958008
The road was maintained by the,The road was battered by the,road,maintained,battered,ae3584a5a3f9440a93da85b2574ed736,Physical Structures,The road was maintained by the,The road was battered by the,7,8.479250936943572e-06,-0.00013086931721772999,1.5231914520263672,-1.6182503700256348,1.1000852584838867,-3.660853385925293,4.953415870666504,-0.8480997085571289,1.5231914520263672,-1.6182503700256348
The pedestrian was arrested by the,The pedestrian was struck by the,pedestrian,arrested,struck,dbba9a575cc148b697a3b249c238ec25,Humans as Physical Entities,The pedestrian was arrested by the,The pedestrian was struck by the,7,1.730800977384206e-05,-0.0003723634290508926,1.9115781784057617,-0.6824531555175781,1.6662578582763672,-1.657663345336914,6.273435592651367,3.5919246673583984,1.9115781784057617,-0.6824531555175781
The manuscript was cited by the,The manuscript was damaged by the,manuscript,cited,damaged,d726cf52d97243a093900a5e47288fd9,Academic Scientific Frame,The manuscript was cited by the,The manuscript was damaged by the,7,0.00024522686726413667,-6.888639472890645e-05,3.8844470977783203,-0.20997238159179688,5.278225898742676,-1.2111053466796875,4.181614875793457,3.467132568359375,3.8844470977783203,-0.20997238159179688
The terminal was planned by the,The terminal was shaken by the,terminal,planned,shaken,f6ca26a6224e49a183d916fbde8126c5,Physical Structures,The terminal was planned by the,The terminal was shaken by the,7,7.878129690652713e-05,-0.00022488825197797269,2.3393173217773438,-0.6533737182617188,2.6263427734375,-2.6521778106689453,4.192114353179932,-1.6844072341918945,2.3393173217773438,-0.6533737182617188
The van was inspected by the,The van was flooded by the,van,inspected,flooded,7f99270ed5a9492189b05b90298cb6d1,Vehicles and Conveyances,The van was inspected by the,The van was flooded by the,7,9.330730972578749e-05,-0.00018056623230222613,1.971879005432129,-0.6142044067382812,1.833200454711914,-1.5590496063232422,7.744027137756348,3.4263601303100586,1.971879005432129,-0.6142044067382812
The neighbor was examined by the,The neighbor was burned by the,neighbor,examined,burned,032021618f6041d1a869170a7732e548,Humans as Physical Entities,The neighbor was examined by the,The neighbor was burned by the,7,6.0831691371276975e-05,-0.0001313630782533437,2.974297523498535,-1.0223197937011719,3.749424934387207,-1.4247798919677734,7.34237003326416,0.3214893341064453,2.974297523498535,-1.0223197937011719
The runway was surveyed by the,The runway was blocked by the,runway,surveyed,blocked,dbad154a23b84c84b7e24a8f78a54cd2,Physical Structures,The runway was surveyed by the,The runway was blocked by the,7,4.445533704711124e-05,-0.000244657916482538,1.7210254669189453,-0.6356182098388672,1.829580307006836,-1.8240995407104492,6.8919878005981445,1.1993865966796875,1.7210254669189453,-0.6356182098388672
The monument was repaired by the,The monument was buried by the,monument,repaired,buried,0e88c00644ea420db440eef6fc229cb8,Physical Structures,The monument was repaired by the,The monument was buried by the,7,9.1924550361e-05,-0.00013945151295047253,2.692525863647461,-0.20299243927001953,2.9021806716918945,-1.541142463684082,5.24919319152832,1.9517135620117188,2.692525863647461,-0.20299243927001953
The warehouse was secured by the,The warehouse was destroyed by the,warehouse,secured,destroyed,d50c878751d04e98a8576e261ac4d105,Physical Structures,The warehouse was secured by the,The warehouse was destroyed by the,7,0.00012395402882248163,-0.00010913088772213086,0.9454832077026367,-0.7648181915283203,1.4956188201904297,-2.184873580932617,4.467999458312988,2.0108909606933594,0.9454832077026367,-0.7648181915283203
The truck was designed by the,The truck was flooded by the,truck,designed,flooded,912f34400e1248dcaee24f46637ff895,Vehicles and Conveyances,The truck was designed by the,The truck was flooded by the,7,5.2989067626185715e-05,-0.0002012406475841999,2.6305108070373535,-0.5106010437011719,2.3558883666992188,-1.6244916915893555,4.5054521560668945,3.077763557434082,2.6305108070373535,-0.5106010437011719
The entry was reviewed by the,The entry was damaged by the,entry,reviewed,damaged,acac89844b214dd29d6cfb64a2398437,Information Resources,The entry was reviewed by the,The entry was damaged by the,7,0.00011896106298081577,-0.00018132997502107173,3.022519588470459,-0.7689199447631836,3.826144218444824,-1.2886857986450195,5.375115394592285,2.2531089782714844,3.022519588470459,-0.7689199447631836
