clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The tunnel was secured by the,The tunnel was flooded by the,tunnel,secured,flooded,a6d31e92e0bf43c79c4e926c1c7c5fa2,Physical Structures,The tunnel was secured by the,The tunnel was flooded by the,7,-1.77834190253634e-05,-0.0006752695771865547,0.0029926300048828125,-0.4317030906677246,-0.03410911560058594,-2.3855204582214355,1.295654296875,0.26657962799072266,0.0029926300048828125,-0.4317030906677246
The program was uploaded by the,The program was corrupted by the,program,uploaded,corrupted,d066a9bfbf394f86a6c07d6c37edcc40,Information Resources,The program was uploaded by the,The program was corrupted by the,7,0.002049823524430394,0.00014264923811424524,2.18611216545105,0.6630744934082031,3.1818227767944336,1.0390934944152832,4.450198173522949,-0.14555644989013672,2.18611216545105,0.6630744934082031
The transcript was translated by the,The transcript was corrupted by the,transcript,translated,corrupted,d1391c2dbbe14ce792baae8848fecd45,Academic Scientific Frame,The transcript was translated by the,The transcript was corrupted by the,7,0.00015145799261517823,0.0001820147008402273,1.2206780910491943,0.07973408699035645,1.6428422927856445,0.38662052154541016,0.10101699829101562,-0.3020296096801758,1.2206780910491943,0.07973408699035645
The tram was parked by the,The tram was crushed by the,tram,parked,crushed,be5a1cb39ba2476b88d61b4fc314b856,Vehicles and Conveyances,The tram was parked by the,The tram was crushed by the,7,-0.0004154058115091175,-0.00034014825359918177,-1.2474167346954346,-0.7412676811218262,-3.2549004554748535,-2.2391204833984375,2.165220260620117,-0.6497640609741211,-1.2474167346954346,-0.7412676811218262
The entry was downloaded by the,The entry was scrambled by the,entry,downloaded,scrambled,8f75c776278f4bc8b075b7434e23fe6b,Information Resources,The entry was downloaded by the,The entry was scrambled by the,7,0.0017322003841400146,0.0004290075448807329,1.4927544593811035,1.1991024017333984,2.355487823486328,1.8635339736938477,4.667565822601318,4.694051742553711,1.4927544593811035,1.1991024017333984
The terminal was renovated by the,The terminal was damaged by the,terminal,renovated,damaged,c66aee70149f48ffb7873c02bc225a60,Physical Structures,The terminal was renovated by the,The terminal was damaged by the,7,-5.756672180723399e-06,-0.0003431742952670902,1.1276118755340576,-0.6564121246337891,0.9870328903198242,-2.158951759338379,4.160559177398682,-1.6977338790893555,1.1276118755340576,-0.6564121246337891
The citizen was transported by the,The citizen was struck by the,citizen,transported,struck,bb44da35d49f4619b581bd5de85a41be,Humans as Physical Entities,The citizen was transported by the,The citizen was struck by the,7,-0.00021166514488868415,-0.00040270594763569534,0.261627197265625,-0.2206878662109375,-0.8019876480102539,-1.4330954551696777,-1.0600862503051758,-3.580277442932129,0.261627197265625,-0.2206878662109375
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities,The soldier was examined by the,The soldier was trapped by the,7,0.0002090766211040318,-0.00022216075740288943,2.0962023735046387,-0.9776444435119629,3.3808326721191406,-2.215656280517578,4.472125053405762,-0.6097354888916016,2.0962023735046387,-0.9776444435119629
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,0.0002215484855696559,-3.9743790694046766e-06,1.753446102142334,-0.15779662132263184,2.654277801513672,-0.16152334213256836,3.419827938079834,-3.4607038497924805,1.753446102142334,-0.15779662132263184
The victim was examined by the,The victim was blinded by the,victim,examined,blinded,ea2ed51abbd2453fbce85019ef741ae1,Humans as Physical Entities,The victim was examined by the,The victim was blinded by the,7,0.00012808223254978657,-1.5617770259268582e-06,1.6170635223388672,-0.061426639556884766,2.8728742599487305,-0.09303760528564453,4.90381383895874,-1.8480463027954102,1.6170635223388672,-0.061426639556884766
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,0.000578656792640686,2.0662435417762026e-05,2.4935758113861084,0.07475662231445312,3.948208808898926,0.24180126190185547,4.184319972991943,-1.573674201965332,2.4935758113861084,0.07475662231445312
The database was verified by the,The database was compressed by the,database,verified,compressed,ea2b1afa6df44f3293834afe09b6f6bc,Information Resources,The database was verified by the,The database was compressed by the,7,0.0004033298173453659,0.0008245432982221246,1.2678840160369873,0.889946699142456,2.414792537689209,1.95729398727417,3.4805617332458496,2.032780647277832,1.2678840160369873,0.889946699142456
The child was assisted by the,The child was burned by the,child,assisted,burned,264a7a0b12c34f26ad4938a7f30ef3de,Humans as Physical Entities,The child was assisted by the,The child was burned by the,7,0.0005448561860248446,-0.0002687729720491916,1.8706340789794922,-0.7289028167724609,2.4950199127197266,-2.082672119140625,5.4183759689331055,-4.802868843078613,1.8706340789794922,-0.7289028167724609
The program was archived by the,The program was corrupted by the,program,archived,corrupted,67486ec1fd10456486be0e9fa1563651,Information Resources,The program was archived by the,The program was corrupted by the,7,0.00031419057631865144,0.00014264923811424524,1.3396368026733398,0.6630744934082031,2.079211711883545,1.0390934944152832,3.029562473297119,-0.14555644989013672,1.3396368026733398,0.6630744934082031
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,5.19602581334766e-05,-2.7347585273673758e-05,1.2209115028381348,-0.6643729209899902,1.7180566787719727,-0.7323455810546875,1.8168869018554688,-2.852078914642334,1.2209115028381348,-0.6643729209899902
The article was reviewed by the,The article was degraded by the,article,reviewed,degraded,e04e15b33c2242438bb27b2ad92a4737,Academic Scientific Frame,The article was reviewed by the,The article was degraded by the,7,0.00011789742711698636,0.0001618682872503996,1.477262258529663,-0.015844106674194336,2.903219699859619,0.35250234603881836,5.0655598640441895,0.7654647827148438,1.477262258529663,-0.015844106674194336
The grant was monitored by the,The grant was constrained by the,grant,monitored,constrained,359b956eade241ebad63cedd61ea221b,Financial Economic Frame,The grant was monitored by the,The grant was constrained by the,7,7.972217281349003e-05,9.3335474957712e-06,1.6493189334869385,0.22312021255493164,2.8592729568481445,0.7569370269775391,4.44262170791626,-2.4015674591064453,1.6493189334869385,0.22312021255493164
The brief was approved by the,The brief was erased by the,brief,approved,erased,a107c2d009104222923036907f743c26,Legal Administrative Frame,The brief was approved by the,The brief was erased by the,7,0.00013356028648559004,0.0002645759959705174,1.8135628700256348,0.8322949409484863,3.122018814086914,1.1958794593811035,3.7604188919067383,2.1530447006225586,1.8135628700256348,0.8322949409484863
The archive was translated by the,The archive was damaged by the,archive,translated,damaged,567a64475b464ed5913485bb8058ffb2,Academic Scientific Frame,The archive was translated by the,The archive was damaged by the,7,0.000520154892001301,-0.00020485755521804094,1.706855297088623,-0.35027360916137695,2.1982531547546387,-1.7544445991516113,4.794662952423096,-0.5807514190673828,1.706855297088623,-0.35027360916137695
The summons was processed by the,The summons was damaged by the,summons,processed,damaged,2edf976d79094b59b492e5b0a7a26f57,Legal Administrative Frame,The summons was processed by the,The summons was damaged by the,7,0.00013703225704375654,-8.820223592920229e-05,1.2279467582702637,-0.0031614303588867188,1.870849609375,-0.49413442611694336,4.2760772705078125,-0.18848133087158203,1.2279467582702637,-0.0031614303588867188
The cyclist was arrested by the,The cyclist was crushed by the,cyclist,arrested,crushed,cd77c5d1ed6046bebdd0e6e8c4f8a55b,Humans as Physical Entities,The cyclist was arrested by the,The cyclist was crushed by the,7,3.86687861464452e-06,-0.0008350067073479295,0.9899482727050781,-1.291372299194336,0.7771205902099609,-2.6723666191101074,3.72733736038208,-1.4180221557617188,0.9899482727050781,-1.291372299194336
