clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The transcript was translated by the,The transcript was corrupted by the,transcript,translated,corrupted,d1391c2dbbe14ce792baae8848fecd45,Academic Scientific Frame,The transcript was translated by the,The transcript was corrupted by the,7,0.0002827015705406666,2.4662753276061267e-05,2.9033143520355225,0.40466833114624023,3.5170230865478516,0.31647682189941406,4.937839984893799,-0.2656726837158203,2.9033143520355225,0.40466833114624023
The tram was parked by the,The tram was crushed by the,tram,parked,crushed,be5a1cb39ba2476b88d61b4fc314b856,Vehicles and Conveyances,The tram was parked by the,The tram was crushed by the,7,-0.0002876891230698675,-0.0003036274283658713,-1.4227333068847656,-1.4082908630371094,-3.0331616401672363,-2.809432029724121,2.2301273345947266,-0.013269424438476562,-1.4227333068847656,-1.4082908630371094
The soldier was examined by the,The soldier was trapped by the,soldier,examined,trapped,5bcf9df3df0c4785b428d373259463dc,Humans as Physical Entities,The soldier was examined by the,The soldier was trapped by the,7,0.00035691814264282584,-0.00018620122864376754,2.3875339031219482,-1.8333525657653809,2.892947196960449,-2.326046943664551,4.84812068939209,-1.4470329284667969,2.3875339031219482,-1.8333525657653809
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,0.00012477226846385747,-6.877811756567098e-06,1.6487832069396973,-0.407503604888916,2.3306941986083984,-0.4182753562927246,2.246936321258545,-2.9716219902038574,1.6487832069396973,-0.407503604888916
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,0.00013810803648084402,-1.6329273421433754e-05,2.7831482887268066,0.29810047149658203,2.8935279846191406,-0.2636871337890625,4.425314426422119,-0.6081953048706055,2.7831482887268066,0.29810047149658203
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,2.575039070507046e-05,-4.0326172893401235e-05,1.4565496444702148,-0.9543838500976562,2.073765277862549,-1.266683578491211,1.855855941772461,-2.790825366973877,1.4565496444702148,-0.9543838500976562
The grant was monitored by the,The grant was constrained by the,grant,monitored,constrained,359b956eade241ebad63cedd61ea221b,Financial Economic Frame,The grant was monitored by the,The grant was constrained by the,7,4.220269329380244e-05,-1.1761034329538234e-05,2.17572021484375,0.3102693557739258,3.0248022079467773,0.25576066970825195,2.7247400283813477,-1.6518473625183105,2.17572021484375,0.3102693557739258
The archive was translated by the,The archive was damaged by the,archive,translated,damaged,567a64475b464ed5913485bb8058ffb2,Academic Scientific Frame,The archive was translated by the,The archive was damaged by the,7,0.00022288248874247074,-9.67058731475845e-05,2.823072910308838,-1.0637788772583008,3.3974366188049316,-1.9149351119995117,4.5833234786987305,-0.10107135772705078,2.823072910308838,-1.0637788772583008
The summons was processed by the,The summons was damaged by the,summons,processed,damaged,2edf976d79094b59b492e5b0a7a26f57,Legal Administrative Frame,The summons was processed by the,The summons was damaged by the,7,0.00012763823906425387,-3.305637801531702e-05,2.161707878112793,0.025100231170654297,2.7564573287963867,-0.00013065338134765625,3.288987159729004,-1.0739660263061523,2.161707878112793,0.025100231170654297
The profit was reviewed by the,The profit was distorted by the,profit,reviewed,distorted,dcf7b5aea03a4085826c00e2efa11fc3,Financial Economic Frame,The profit was reviewed by the,The profit was distorted by the,7,0.0001252239162568003,-6.877811756567098e-06,1.8402986526489258,-0.407503604888916,2.517975330352783,-0.4182753562927246,2.2865939140319824,-2.9716219902038574,1.8402986526489258,-0.407503604888916
The brief was reviewed by the,The brief was buried by the,brief,reviewed,buried,e2200bc3d31e40808f7f59ef549eef53,Legal Administrative Frame,The brief was reviewed by the,The brief was buried by the,7,8.146707114065066e-05,-7.617283699801192e-06,2.173893928527832,-0.01093149185180664,2.657456874847412,-0.2576332092285156,3.396301746368408,-0.4859495162963867,2.173893928527832,-0.01093149185180664
The boy was assisted by the,The boy was crushed by the,boy,assisted,crushed,ecf43cf1976b4a5eaa98309d2d7d19a3,Humans as Physical Entities,The boy was assisted by the,The boy was crushed by the,7,0.00011480518878670409,-0.0003072749823331833,1.3285465240478516,-1.763082504272461,1.2871837615966797,-2.4103965759277344,4.340500831604004,-0.4981412887573242,1.3285465240478516,-1.763082504272461
The van was inspected by the,The van was shaken by the,van,inspected,shaken,6164e3c8e01e4db58a96ffcef6c267dd,Vehicles and Conveyances,The van was inspected by the,The van was shaken by the,7,2.6408022677060217e-05,-0.00011267614172538742,1.0267601013183594,-0.7998099327087402,0.7591972351074219,-1.6874704360961914,4.8497819900512695,-0.5728588104248047,1.0267601013183594,-0.7998099327087402
The certificate was filed by the,The certificate was delayed by the,certificate,filed,delayed,47b82326d61e47f2b762c69ee4c3da27,Legal Administrative Frame,The certificate was filed by the,The certificate was delayed by the,7,0.00019063070067204535,1.994575904973317e-05,3.060762643814087,1.1478004455566406,3.1218457221984863,0.70758056640625,4.991135597229004,-1.0803594589233398,3.060762643814087,1.1478004455566406
The allowance was valued by the,The allowance was constrained by the,allowance,valued,constrained,6f8398a25b1149d890d42e06751a567c,Financial Economic Frame,The allowance was valued by the,The allowance was constrained by the,7,0.00027188032981939614,-2.604974724818021e-07,2.811100959777832,0.4397616386413574,3.401193141937256,0.3483762741088867,2.8862195014953613,-1.8544869422912598,2.811100959777832,0.4397616386413574
The draft was validated by the,The draft was scrambled by the,draft,validated,scrambled,570d970ebf77453d98e2de0bb64d5e9a,Academic Scientific Frame,The draft was validated by the,The draft was scrambled by the,7,3.970779289375059e-05,-7.815733624738641e-06,1.1420948505401611,0.08772993087768555,1.9851341247558594,-0.44307851791381836,2.023860454559326,-0.9028205871582031,1.1420948505401611,0.08772993087768555
The road was maintained by the,The road was battered by the,road,maintained,battered,ae3584a5a3f9440a93da85b2574ed736,Physical Structures,The road was maintained by the,The road was battered by the,7,1.9779716240009293e-05,-9.423648589290679e-05,1.121574878692627,-1.1955089569091797,0.7387247085571289,-2.7160158157348633,2.5653786659240723,-1.6231622695922852,1.121574878692627,-1.1955089569091797
The manuscript was cited by the,The manuscript was damaged by the,manuscript,cited,damaged,d726cf52d97243a093900a5e47288fd9,Academic Scientific Frame,The manuscript was cited by the,The manuscript was damaged by the,7,0.00016034422151278704,-8.008256554603577e-05,2.2300095558166504,-0.746955394744873,3.5884361267089844,-1.3580284118652344,2.8771872520446777,-0.67877197265625,2.2300095558166504,-0.746955394744873
The terminal was planned by the,The terminal was shaken by the,terminal,planned,shaken,f6ca26a6224e49a183d916fbde8126c5,Physical Structures,The terminal was planned by the,The terminal was shaken by the,7,7.140907109715044e-05,-0.00018462867592461407,1.4039995670318604,-0.7328548431396484,1.3147211074829102,-2.042717933654785,2.0248336791992188,-1.2919244766235352,1.4039995670318604,-0.7328548431396484
The claim was recorded by the,The claim was delayed by the,claim,recorded,delayed,544f167336504bed8a510274fdfd206f,Legal Administrative Frame,The claim was recorded by the,The claim was delayed by the,7,7.880199700593948e-05,5.5407559557352215e-05,2.248469829559326,1.2671751976013184,2.1026573181152344,0.9358625411987305,3.73837947845459,-0.8302373886108398,2.248469829559326,1.2671751976013184
The runway was surveyed by the,The runway was blocked by the,runway,surveyed,blocked,dbad154a23b84c84b7e24a8f78a54cd2,Physical Structures,The runway was surveyed by the,The runway was blocked by the,7,3.904636105289683e-05,-0.0001736843987600878,0.8319482803344727,-0.7864713668823242,1.3508529663085938,-1.7383813858032227,3.5180745124816895,-0.10941696166992188,0.8319482803344727,-0.7864713668823242
The appeal was filed by the,The appeal was delayed by the,appeal,filed,delayed,ad4261f1f574467fb71fe5487eba57af,Legal Administrative Frame,The appeal was filed by the,The appeal was delayed by the,7,0.0008625268819741905,0.00016007019439712167,2.648362159729004,1.5937237739562988,3.6298623085021973,1.4752798080444336,2.933243751525879,-1.2082877159118652,2.648362159729004,1.5937237739562988
The paper was archived by the,The paper was degraded by the,paper,archived,degraded,c86ed677a7354f7f8167820c1bb55eee,Academic Scientific Frame,The paper was archived by the,The paper was degraded by the,7,0.00012992702249903232,-0.00012821939890272915,1.8171424865722656,-1.101884365081787,2.7100634574890137,-2.260018825531006,2.715165138244629,-0.8936090469360352,1.8171424865722656,-1.101884365081787
The submarine was loaded by the,The submarine was shaken by the,submarine,loaded,shaken,25bcbb56bd7749d48bb48527c0317d34,Vehicles and Conveyances,The submarine was loaded by the,The submarine was shaken by the,7,-9.017834236146882e-05,-0.00010212379856966436,-0.025744915008544922,-1.3251128196716309,-1.016702651977539,-2.8569345474243164,0.5108089447021484,-2.9187774658203125,-0.025744915008544922,-1.3251128196716309
The model was uploaded by the,The model was distorted by the,model,uploaded,distorted,010f68066dcc493891bed2ba69e8e937,Information Resources,The model was uploaded by the,The model was distorted by the,7,0.0008674682467244565,-6.316855433396995e-06,2.320796251296997,-0.40909719467163086,2.976151943206787,-0.2927684783935547,4.386771202087402,-0.035495758056640625,2.320796251296997,-0.40909719467163086
The submarine was repaired by the,The submarine was blocked by the,submarine,repaired,blocked,b67c57a103124dd2a405836f9d137b4e,Vehicles and Conveyances,The submarine was repaired by the,The submarine was blocked by the,7,-0.00011346287647029385,-0.00015173631254583597,0.3413856029510498,-1.297548770904541,0.267822265625,-2.340190887451172,2.234802722930908,-2.6512632369995117,0.3413856029510498,-1.297548770904541
