clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain,clean,corrupt,seq_len,clean_Delta_P,corrupt_Delta_P,clean_avg_LD_pairs,corrupt_avg_LD_pairs,clean_avg_LD_top_k,corrupt_avg_LD_top_k,clean_LD_someone_something,corrupt_LD_someone_something,clean_metric,corrupt_metric
The transcript was translated by the,The transcript was corrupted by the,transcript,translated,corrupted,d1391c2dbbe14ce792baae8848fecd45,Academic Scientific Frame,The transcript was translated by the,The transcript was corrupted by the,7,0.0001490287686465308,2.5750960048753768e-05,3.676542282104492,0.5304803848266602,4.017790794372559,0.6184501647949219,4.478062629699707,-0.6978797912597656,3.676542282104492,0.5304803848266602
The tram was parked by the,The tram was crushed by the,tram,parked,crushed,be5a1cb39ba2476b88d61b4fc314b856,Vehicles and Conveyances,The tram was parked by the,The tram was crushed by the,7,-0.00035668289638124406,-0.0005549839697778225,-0.7174463272094727,-2.2101316452026367,-2.652052879333496,-4.054917335510254,6.264434814453125,-0.5042858123779297,-0.7174463272094727,-2.2101316452026367
The profit was valued by the,The profit was distorted by the,profit,valued,distorted,54956ec0a2b7450a91d075f36861fbbf,Financial Economic Frame,The profit was valued by the,The profit was distorted by the,7,9.072931425180286e-05,-3.2712382562749553e-06,2.3246045112609863,-1.5834922790527344,3.1991348266601562,-1.9252681732177734,2.5409469604492188,-5.108551979064941,2.3246045112609863,-1.5834922790527344
The formula was cited by the,The formula was delayed by the,formula,cited,delayed,7ebf7ad0b8844c668b93bac8b78ff816,Academic Scientific Frame,The formula was cited by the,The formula was delayed by the,7,0.00013192524784244597,-8.77056154422462e-05,4.294644832611084,0.5518674850463867,4.8103790283203125,-0.885310173034668,5.996286392211914,-0.8741321563720703,4.294644832611084,0.5518674850463867
The capital was allocated by the,The capital was constrained by the,capital,allocated,constrained,63a15f3c5fd74221862b4ddf7fc79791,Financial Economic Frame,The capital was allocated by the,The capital was constrained by the,7,1.9603232431109063e-05,-4.549760342342779e-05,2.0018720626831055,-1.3548831939697266,2.4974308013916016,-1.9605741500854492,2.0802431106567383,-3.3531875610351562,2.0018720626831055,-1.3548831939697266
The grant was monitored by the,The grant was constrained by the,grant,monitored,constrained,359b956eade241ebad63cedd61ea221b,Financial Economic Frame,The grant was monitored by the,The grant was constrained by the,7,4.237003668094985e-05,-6.018308340571821e-08,3.861630439758301,1.0881271362304688,5.128552436828613,0.9412546157836914,5.568336009979248,-1.9591922760009766,3.861630439758301,1.0881271362304688
The profit was reviewed by the,The profit was distorted by the,profit,reviewed,distorted,dcf7b5aea03a4085826c00e2efa11fc3,Financial Economic Frame,The profit was reviewed by the,The profit was distorted by the,7,9.053519170265645e-05,-3.2712382562749553e-06,3.06105899810791,-1.5834922790527344,4.167543411254883,-1.9252681732177734,4.146997451782227,-5.108551979064941,3.06105899810791,-1.5834922790527344
The boy was assisted by the,The boy was crushed by the,boy,assisted,crushed,ecf43cf1976b4a5eaa98309d2d7d19a3,Humans as Physical Entities,The boy was assisted by the,The boy was crushed by the,7,0.0001558967778692022,-0.0005858137737959623,2.698648452758789,-2.521531105041504,2.802816390991211,-3.8408355712890625,7.414141654968262,-0.25398826599121094,2.698648452758789,-2.521531105041504
The certificate was filed by the,The certificate was delayed by the,certificate,filed,delayed,47b82326d61e47f2b762c69ee4c3da27,Legal Administrative Frame,The certificate was filed by the,The certificate was delayed by the,7,0.00028826421475969255,-4.754214751301333e-05,4.058131217956543,1.4633026123046875,4.891990661621094,0.4096260070800781,6.12830924987793,-0.6370372772216797,4.058131217956543,1.4633026123046875
The allowance was valued by the,The allowance was constrained by the,allowance,valued,constrained,6f8398a25b1149d890d42e06751a567c,Financial Economic Frame,The allowance was valued by the,The allowance was constrained by the,7,0.00012651155702769756,-1.7342597857350484e-05,3.1968226432800293,0.3356294631958008,3.8477468490600586,-0.30867671966552734,4.166482925415039,-2.1421375274658203,3.1968226432800293,0.3356294631958008
The road was maintained by the,The road was battered by the,road,maintained,battered,ae3584a5a3f9440a93da85b2574ed736,Physical Structures,The road was maintained by the,The road was battered by the,7,8.479250936943572e-06,-0.00013086931721772999,1.5231914520263672,-1.6182503700256348,1.1000852584838867,-3.660853385925293,4.953415870666504,-0.8480997085571289,1.5231914520263672,-1.6182503700256348
The terminal was planned by the,The terminal was shaken by the,terminal,planned,shaken,f6ca26a6224e49a183d916fbde8126c5,Physical Structures,The terminal was planned by the,The terminal was shaken by the,7,7.878129690652713e-05,-0.00022488825197797269,2.3393173217773438,-0.6533737182617188,2.6263427734375,-2.6521778106689453,4.192114353179932,-1.6844072341918945,2.3393173217773438,-0.6533737182617188
